Date,Team1,Score1,Wkt1,Team2,Score2,Wkt2,Toss Winner,Toss Decision,Winner
2014-03-30,Bangladesh,177,5,Pakistan,177,7,Pakistan,bat,Pakistan
2014-03-31,England,116,5,Netherlands,116,10,England,field,Netherlands
2014-03-31,New Zealand,113,10,Sri Lanka,113,9,New Zealand,field,Sri Lanka
2014-04-01,Pakistan,157,6,West Indies,157,10,West Indies,bat,West Indies
2014-04-01,Bangladesh,138,5,Australia,138,3,Bangladesh,bat,Australia
2014-04-03,Sri Lanka,156,6,West Indies,156,4,Sri Lanka,bat,Sri Lanka
2014-04-04,India,164,4,South Africa,164,4,South Africa,bat,India
2014-04-06,India,124,4,Sri Lanka,124,4,Sri Lanka,field,Sri Lanka
2014-05-20,England,180,7,Sri Lanka,180,7,England,field,Sri Lanka
2014-07-05,West Indies,119,8,New Zealand,119,4,New Zealand,field,New Zealand
2014-07-06,West Indies,160,6,New Zealand,160,10,New Zealand,field,West Indies
2014-08-27,West Indies,30,0,Bangladesh,30,0,Bangladesh,bat,NaN
2014-09-07,England,176,7,India,176,5,England,bat,England
2014-10-05,Australia,76,9,Pakistan,76,4,Pakistan,bat,Australia
2014-11-05,Australia,138,6,South Africa,138,3,Australia,bat,South Africa
2014-11-07,Australia,100,7,South Africa,100,3,South Africa,bat,Australia
2014-11-09,Australia,142,6,South Africa,142,8,Australia,field,Australia
2014-11-24,Hong Kong,66,10,Nepal,66,8,Hong Kong,field,Hong Kong
2014-12-04,New Zealand,127,7,Pakistan,127,3,Pakistan,field,Pakistan
2014-12-05,New Zealand,134,8,Pakistan,134,10,Pakistan,field,New Zealand
2015-01-09,South Africa,160,4,West Indies,160,6,South Africa,bat,West Indies
2015-01-11,South Africa,220,7,West Indies,220,6,West Indies,field,West Indies
2015-01-14,South Africa,184,3,West Indies,184,10,West Indies,field,South Africa
2015-04-24,Bangladesh,130,5,Pakistan,130,3,Pakistan,bat,Bangladesh
2015-05-22,Pakistan,163,6,Zimbabwe,163,5,Zimbabwe,bat,Pakistan
2015-05-24,Pakistan,169,3,Zimbabwe,169,8,Zimbabwe,bat,Pakistan
2015-06-20,Ireland,159,6,Scotland,159,4,Scotland,field,Scotland
2015-06-23,England,181,7,New Zealand,181,10,England,bat,England
2015-07-01,Netherlands,159,4,Nepal,159,10,Nepal,field,Netherlands
2015-07-02,Netherlands,146,6,Nepal,146,9,Netherlands,bat,Netherlands
2015-07-05,Bangladesh,143,4,South Africa,143,10,South Africa,bat,South Africa
2015-07-07,Bangladesh,155,4,South Africa,155,10,South Africa,bat,South Africa
2015-07-09,Scotland,104,10,United Arab Emirates,104,1,Scotland,field,Scotland
2015-07-09,Afghanistan,156,7,Netherlands,156,10,Netherlands,field,Afghanistan
2015-07-10,Afghanistan,159,6,United Arab Emirates,159,2,United Arab Emirates,bat,Afghanistan
2015-07-11,Scotland,186,6,Netherlands,186,10,Netherlands,bat,Netherlands
2015-07-12,Scotland,204,5,Afghanistan,204,10,Afghanistan,bat,Afghanistan
2015-07-12,Netherlands,114,7,United Arab Emirates,114,3,Netherlands,field,Netherlands
2015-07-13,Nepal,48,10,Ireland,48,2,Ireland,field,Ireland
2015-07-15,Ireland,121,9,Papua New Guinea,121,8,Ireland,bat,Papua New Guinea
2015-07-15,Hong Kong,95,10,Nepal,95,5,Hong Kong,field,Hong Kong
2015-07-17,Nepal,84,10,Papua New Guinea,84,2,Papua New Guinea,field,Papua New Guinea
2015-07-17,Zimbabwe,153,5,India,153,7,India,bat,India
2015-07-17,Ireland,120,8,Hong Kong,120,8,Ireland,field,Hong Kong
2015-07-19,Zimbabwe,129,7,India,129,9,Zimbabwe,bat,Zimbabwe
2015-07-21,Afghanistan,156,7,Hong Kong,156,5,Afghanistan,bat,Hong Kong
2015-07-23,Afghanistan,109,6,Papua New Guinea,109,4,Papua New Guinea,bat,Afghanistan
2015-07-25,Ireland,125,10,Netherlands,125,5,Netherlands,field,Netherlands
2015-07-25,Hong Kong,112,10,Scotland,112,5,Scotland,field,Scotland
2015-07-25,Afghanistan,108,9,Oman,108,5,Afghanistan,field,Afghanistan
2015-07-30,Sri Lanka,165,5,Pakistan,165,7,Pakistan,bat,Pakistan
2015-08-01,Sri Lanka,162,7,Pakistan,162,9,Sri Lanka,bat,Pakistan
2015-08-09,Zimbabwe,193,5,New Zealand,193,8,Zimbabwe,field,New Zealand
2015-08-14,South Africa,145,8,New Zealand,145,4,South Africa,field,South Africa
2015-08-16,South Africa,171,7,New Zealand,171,8,New Zealand,bat,New Zealand
2015-08-31,England,174,5,Australia,174,8,Australia,field,England
2015-09-27,Zimbabwe,130,8,Pakistan,130,9,Pakistan,bat,Pakistan
2015-09-29,Zimbabwe,134,6,Pakistan,134,7,Pakistan,bat,Pakistan
2015-10-02,India,188,5,South Africa,188,3,South Africa,field,South Africa
2015-10-05,India,81,10,South Africa,81,4,South Africa,field,South Africa
2015-10-26,Zimbabwe,152,5,Afghanistan,152,4,Zimbabwe,bat,Afghanistan
2015-10-28,Zimbabwe,182,7,Afghanistan,182,5,Zimbabwe,bat,Afghanistan
2015-11-09,Sri Lanka,209,3,West Indies,209,10,West Indies,field,Sri Lanka
2015-11-11,Sri Lanka,149,6,West Indies,149,10,West Indies,bat,West Indies
2015-11-13,Bangladesh,122,10,Zimbabwe,122,6,Bangladesh,field,Bangladesh
2015-11-15,Bangladesh,122,9,Zimbabwe,122,7,Bangladesh,bat,Zimbabwe
2015-11-21,Hong Kong,100,9,Oman,100,4,Oman,field,Oman
2015-11-22,United Arab Emirates,122,8,Oman,122,3,United Arab Emirates,field,United Arab Emirates
2015-11-25,Hong Kong,125,6,Oman,125,10,Hong Kong,field,Oman
2015-11-26,England,156,5,Pakistan,156,10,England,bat,England
2015-11-26,Hong Kong,140,5,Oman,140,2,Hong Kong,field,Hong Kong
2015-11-27,England,165,8,Pakistan,165,8,England,bat,England
2015-11-30,Afghanistan,158,4,Oman,158,8,Oman,field,Afghanistan
2015-11-30,England,142,8,Pakistan,142,7,England,bat,NaN
2016-01-07,New Zealand,181,4,Sri Lanka,181,9,Sri Lanka,field,New Zealand
2016-01-08,Afghanistan,178,7,Zimbabwe,178,7,Afghanistan,bat,Afghanistan
2016-01-10,Afghanistan,196,6,Zimbabwe,196,10,Zimbabwe,field,Afghanistan
2016-01-10,New Zealand,137,8,Sri Lanka,137,1,New Zealand,field,New Zealand
2016-01-15,New Zealand,167,8,Pakistan,167,10,New Zealand,field,Pakistan
2016-01-15,Bangladesh,157,7,Zimbabwe,157,6,Zimbabwe,bat,Bangladesh
2016-01-17,Bangladesh,161,4,Zimbabwe,161,8,Bangladesh,bat,Bangladesh
2016-01-17,New Zealand,157,7,Pakistan,157,0,Pakistan,bat,New Zealand
2016-01-20,Bangladesh,182,6,Zimbabwe,182,6,Zimbabwe,bat,Zimbabwe
2016-01-22,Bangladesh,172,4,Zimbabwe,172,10,Zimbabwe,bat,Zimbabwe
2016-01-22,New Zealand,189,6,Pakistan,189,10,Pakistan,field,New Zealand
2016-01-26,Australia,178,3,India,178,10,Australia,field,India
2016-01-29,Australia,175,3,India,175,8,Australia,field,India
2016-01-30,Hong Kong,65,7,Scotland,65,1,Hong Kong,field,Hong Kong
2016-01-31,Hong Kong,153,9,Scotland,153,10,Hong Kong,field,Scotland
2016-01-31,Australia,189,5,India,189,3,Australia,bat,India
2016-02-03,United Arab Emirates,149,5,Netherlands,149,10,United Arab Emirates,field,Netherlands
2016-02-04,United Arab Emirates,141,8,Scotland,141,9,United Arab Emirates,bat,United Arab Emirates
2016-02-07,Ireland,93,5,Papua New Guinea,93,9,Papua New Guinea,field,Ireland
2016-02-09,Ireland,108,8,Papua New Guinea,108,10,Papua New Guinea,bat,Papua New Guinea
2016-02-09,India,90,10,Sri Lanka,90,5,Sri Lanka,field,Sri Lanka
2016-02-12,India,186,6,Sri Lanka,186,9,Sri Lanka,field,India
2016-02-14,India,76,10,Sri Lanka,76,1,India,field,India
2016-02-14,United Arab Emirates,127,8,Ireland,127,10,United Arab Emirates,field,Ireland
2016-02-16,United Arab Emirates,124,7,Ireland,124,9,United Arab Emirates,bat,United Arab Emirates
2016-02-19,Hong Kong,175,5,Oman,175,7,Oman,bat,Oman
2016-02-19,Afghanistan,165,4,United Arab Emirates,165,10,United Arab Emirates,bat,United Arab Emirates
2016-02-19,South Africa,127,8,England,127,7,South Africa,field,South Africa
2016-02-20,Afghanistan,155,4,Oman,155,7,Oman,bat,Afghanistan
2016-02-21,Hong Kong,138,7,United Arab Emirates,138,4,Hong Kong,bat,United Arab Emirates
2016-02-21,South Africa,162,10,England,162,1,South Africa,field,South Africa
2016-02-22,Oman,160,6,United Arab Emirates,160,8,Oman,field,United Arab Emirates
2016-02-22,Afghanistan,169,7,Hong Kong,169,10,Hong Kong,field,Afghanistan
2016-02-24,Bangladesh,160,6,India,160,7,Bangladesh,field,India
2016-02-25,Sri Lanka,124,8,United Arab Emirates,124,9,United Arab Emirates,field,Sri Lanka
2016-02-26,Bangladesh,128,8,United Arab Emirates,128,10,United Arab Emirates,field,Bangladesh
2016-02-27,India,68,10,Pakistan,68,5,India,field,India
2016-02-28,Bangladesh,143,7,Sri Lanka,143,8,Bangladesh,bat,Bangladesh
2016-02-29,Pakistan,120,6,United Arab Emirates,120,3,United Arab Emirates,bat,Pakistan
2016-03-01,India,128,9,Sri Lanka,128,5,India,field,India
2016-03-02,Bangladesh,129,7,Pakistan,129,5,Pakistan,bat,Bangladesh
2016-03-03,India,74,9,United Arab Emirates,74,1,United Arab Emirates,bat,India
2016-03-04,South Africa,152,9,Australia,152,7,Australia,bat,South Africa
2016-03-04,Pakistan,143,4,Sri Lanka,143,4,Pakistan,field,Pakistan
2016-03-06,Bangladesh,117,5,India,117,2,India,field,India
2016-03-06,South Africa,199,7,Australia,199,5,Australia,field,Australia
2016-03-08,Afghanistan,163,5,Scotland,163,5,Afghanistan,bat,Afghanistan
2016-03-08,Hong Kong,152,8,Zimbabwe,152,6,Hong Kong,field,Zimbabwe
2016-03-09,Ireland,147,5,Oman,147,8,Ireland,bat,Oman
2016-03-09,South Africa,173,4,Australia,173,4,South Africa,bat,Australia
2016-03-09,Bangladesh,146,7,Netherlands,146,7,Netherlands,field,Bangladesh
2016-03-10,Afghanistan,104,6,Hong Kong,104,4,Hong Kong,bat,Afghanistan
2016-03-10,Scotland,134,7,Zimbabwe,134,10,Zimbabwe,bat,Zimbabwe
2016-03-11,Bangladesh,80,2,Ireland,80,0,Ireland,field,NaN
2016-03-12,Afghanistan,161,6,Zimbabwe,161,10,Afghanistan,bat,Afghanistan
2016-03-12,Hong Kong,120,7,Scotland,120,2,Hong Kong,bat,Scotland
2016-03-13,Bangladesh,176,2,Oman,176,9,Oman,field,Bangladesh
2016-03-13,Ireland,51,5,Netherlands,51,7,Ireland,field,Netherlands
2016-03-15,India,113,7,New Zealand,113,10,New Zealand,bat,New Zealand
2016-03-16,England,170,6,West Indies,170,4,West Indies,field,West Indies
2016-03-16,Bangladesh,198,5,Pakistan,198,6,Pakistan,bat,Pakistan
2016-03-17,Afghanistan,146,7,Sri Lanka,146,4,Afghanistan,bat,Sri Lanka
2016-03-18,Australia,136,8,New Zealand,136,9,New Zealand,bat,New Zealand
2016-03-18,England,225,4,South Africa,225,8,England,field,England
2016-03-19,India,111,5,Pakistan,111,4,India,field,India
2016-03-20,Sri Lanka,109,9,West Indies,109,3,West Indies,field,West Indies
2016-03-20,Afghanistan,203,5,South Africa,203,10,South Africa,bat,South Africa
2016-03-21,Australia,146,5,Bangladesh,146,7,Australia,field,Australia
2016-03-22,New Zealand,173,5,Pakistan,173,5,New Zealand,bat,New Zealand
2016-03-23,Afghanistan,128,7,England,128,9,England,bat,England
2016-03-23,India,143,7,Bangladesh,143,9,Bangladesh,field,India
2016-03-25,Australia,180,4,Pakistan,180,8,Australia,bat,Australia
2016-03-25,South Africa,116,8,West Indies,116,7,West Indies,field,West Indies
2016-03-26,England,161,4,Sri Lanka,161,8,Sri Lanka,field,England
2016-03-26,Bangladesh,139,8,New Zealand,139,10,New Zealand,bat,New Zealand
2016-03-27,Afghanistan,120,7,West Indies,120,8,West Indies,field,Afghanistan
2016-03-27,India,146,6,Australia,146,4,Australia,bat,India
2016-03-28,South Africa,110,10,Sri Lanka,110,2,South Africa,field,South Africa
2016-03-30,England,142,8,New Zealand,142,3,England,field,England
2016-03-31,India,187,2,West Indies,187,3,West Indies,field,West Indies
2016-04-03,England,150,9,West Indies,150,6,West Indies,field,West Indies
2016-06-18,Zimbabwe,161,7,India,161,6,India,field,Zimbabwe
2016-06-20,Zimbabwe,90,9,India,90,0,Zimbabwe,bat,India
2016-06-22,Zimbabwe,134,6,India,134,6,Zimbabwe,field,India
2016-07-05,England,127,10,Sri Lanka,127,2,Sri Lanka,bat,England
2016-08-27,India,239,6,West Indies,239,4,India,field,West Indies
2016-08-28,India,134,10,West Indies,134,0,India,field,NaN
2016-09-05,Ireland,159,5,Hong Kong,159,10,Hong Kong,bat,Hong Kong
2016-09-06,Sri Lanka,254,3,Australia,254,9,Sri Lanka,field,Australia
2016-09-07,England,123,7,Pakistan,123,1,England,bat,Pakistan
2016-09-09,Sri Lanka,121,9,Australia,121,6,Sri Lanka,bat,Australia
2016-09-23,Pakistan,106,10,West Indies,106,1,Pakistan,field,Pakistan
2016-09-24,Pakistan,145,4,West Indies,145,9,West Indies,field,Pakistan
2016-09-27,Pakistan,99,5,West Indies,99,2,Pakistan,field,Pakistan
2016-12-14,United Arab Emirates,158,6,Afghanistan,158,7,Afghanistan,bat,Afghanistan
2016-12-16,United Arab Emirates,173,4,Afghanistan,173,5,United Arab Emirates,bat,Afghanistan
2016-12-18,United Arab Emirates,185,5,Afghanistan,185,8,Afghanistan,bat,Afghanistan
2017-01-03,New Zealand,123,8,Bangladesh,123,4,Bangladesh,bat,New Zealand
2017-01-06,New Zealand,187,7,Bangladesh,187,10,Bangladesh,field,New Zealand
2017-01-08,New Zealand,178,4,Bangladesh,178,6,Bangladesh,field,New Zealand
2017-01-14,Hong Kong,173,3,Scotland,173,6,Scotland,bat,Scotland
2017-01-14,Afghanistan,118,6,Ireland,118,5,Ireland,bat,Afghanistan
2017-01-15,Netherlands,129,7,Oman,129,5,Oman,bat,Netherlands
2017-01-16,Hong Kong,84,10,Oman,84,3,Oman,field,Oman
2017-01-16,United Arab Emirates,133,7,Afghanistan,133,5,Afghanistan,field,Afghanistan
2017-01-17,Netherlands,142,7,Scotland,142,10,Netherlands,field,Scotland
2017-01-18,United Arab Emirates,148,6,Ireland,148,7,Ireland,bat,Ireland
2017-01-18,Hong Kong,165,4,Netherlands,165,10,Hong Kong,bat,Hong Kong
2017-01-19,Oman,115,10,Scotland,115,3,Oman,bat,Scotland
2017-01-20,Afghanistan,64,10,Ireland,64,0,Ireland,bat,Afghanistan
2017-01-20,South Africa,119,5,Sri Lanka,119,6,Sri Lanka,field,South Africa
2017-01-20,Afghanistan,138,8,Oman,138,2,Afghanistan,field,Afghanistan
2017-01-20,Ireland,205,6,Scotland,205,10,Scotland,field,Ireland
2017-01-22,South Africa,108,10,Sri Lanka,108,7,South Africa,bat,Sri Lanka
2017-01-25,South Africa,165,5,Sri Lanka,165,5,South Africa,bat,Sri Lanka
2017-01-26,India,136,7,England,136,3,England,field,England
2017-01-29,India,140,8,England,140,6,England,field,India
2017-02-01,India,186,6,England,186,10,England,field,India
2017-02-17,New Zealand,174,6,South Africa,174,10,New Zealand,field,South Africa
2017-02-17,Australia,161,6,Sri Lanka,161,5,Sri Lanka,field,Sri Lanka
2017-02-19,Australia,165,10,Sri Lanka,165,8,Sri Lanka,field,Sri Lanka
2017-02-22,Australia,179,6,Sri Lanka,179,10,Sri Lanka,field,Australia
2017-03-08,Afghanistan,161,5,Ireland,161,4,Ireland,bat,Afghanistan
2017-03-10,Afghanistan,177,8,Ireland,177,9,Afghanistan,bat,Afghanistan
2017-03-12,Afghanistan,220,8,Ireland,220,10,Ireland,field,Afghanistan
2017-03-26,West Indies,104,8,Pakistan,104,4,Pakistan,field,Pakistan
2017-03-30,West Indies,131,10,Pakistan,131,8,West Indies,field,Pakistan
2017-04-01,West Indies,127,8,Pakistan,127,3,Pakistan,bat,West Indies
2017-04-02,West Indies,121,8,Pakistan,121,3,Pakistan,field,Pakistan
2017-04-04,Sri Lanka,138,6,Bangladesh,138,4,Bangladesh,bat,Sri Lanka
2017-04-06,Sri Lanka,169,9,Bangladesh,169,10,Bangladesh,bat,Bangladesh
2017-04-12,United Arab Emirates,96,10,Papua New Guinea,96,5,United Arab Emirates,field,United Arab Emirates
2017-04-14,United Arab Emirates,167,3,Papua New Guinea,167,10,Papua New Guinea,field,United Arab Emirates
2017-04-14,United Arab Emirates,121,5,Papua New Guinea,121,5,Papua New Guinea,bat,United Arab Emirates
2017-06-02,West Indies,101,10,Afghanistan,101,4,Afghanistan,bat,West Indies
2017-06-03,West Indies,101,3,Afghanistan,101,10,West Indies,bat,West Indies
2017-06-05,West Indies,136,6,Afghanistan,136,3,Afghanistan,bat,West Indies
2017-06-21,England,141,3,South Africa,141,1,South Africa,bat,England
2017-06-23,England,169,8,South Africa,169,6,England,field,South Africa
2017-06-25,England,167,8,South Africa,167,7,South Africa,field,England
2017-07-09,West Indies,178,6,India,178,1,West Indies,field,West Indies
2019-01-11,New Zealand,161,7,Sri Lanka,161,10,Sri Lanka,field,New Zealand
2019-01-31,United Arab Emirates,148,6,Nepal,148,7,Nepal,field,United Arab Emirates
2019-02-01,South Africa,186,6,Pakistan,186,9,Pakistan,field,South Africa
2019-02-01,United Arab Emirates,99,10,Nepal,99,6,United Arab Emirates,bat,Nepal
2019-02-03,United Arab Emirates,101,8,Nepal,101,8,United Arab Emirates,field,Nepal
2019-02-03,South Africa,176,3,Pakistan,176,7,Pakistan,field,South Africa
2019-02-06,New Zealand,213,6,India,213,10,India,field,New Zealand
2019-02-06,South Africa,157,9,Pakistan,157,9,South Africa,field,Pakistan
2019-02-08,New Zealand,149,8,India,149,3,New Zealand,bat,India
2019-02-10,New Zealand,205,4,India,205,6,India,field,New Zealand
2019-02-13,Netherlands,148,7,Scotland,148,3,Netherlands,field,Netherlands
2019-02-13,Oman,157,5,Ireland,157,9,Oman,field,Ireland
2019-02-15,Oman,160,4,Netherlands,160,2,Netherlands,field,Netherlands
2019-02-15,Ireland,177,7,Scotland,177,4,Scotland,field,Scotland
2019-02-17,Oman,101,10,Scotland,101,3,Scotland,field,Scotland
2019-02-17,Ireland,169,9,Netherlands,169,9,Ireland,field,Ireland
2019-02-21,Afghanistan,125,6,Ireland,125,5,Ireland,bat,Afghanistan
2019-02-23,Afghanistan,260,3,Ireland,260,6,Afghanistan,bat,Afghanistan
2019-02-24,India,115,7,Australia,115,7,Australia,field,Australia
2019-02-24,Afghanistan,196,7,Ireland,196,8,Ireland,field,Afghanistan
2019-02-27,India,182,4,Australia,182,3,Australia,field,Australia
2019-03-05,West Indies,149,8,England,149,6,England,field,England
2019-03-08,West Indies,178,6,England,178,10,West Indies,field,England
2019-03-10,West Indies,69,10,England,69,2,West Indies,bat,England
2019-03-15,United Arab Emirates,141,7,United States of America,141,2,United Arab Emirates,field,NaN
2019-03-16,United Arab Emirates,176,7,United States of America,176,6,United Arab Emirates,bat,United Arab Emirates
2019-03-19,South Africa,126,7,Sri Lanka,126,8,South Africa,field,NaN
2019-03-22,Papua New Guinea,120,6,Vanuatu,120,2,Vanuatu,bat,Papua New Guinea
2019-03-22,Papua New Guinea,208,4,Philippines,208,8,Philippines,field,Papua New Guinea
2019-03-22,South Africa,174,3,Sri Lanka,174,9,Sri Lanka,field,South Africa
2019-03-23,Philippines,141,6,Vanuatu,141,7,Vanuatu,bat,Vanuatu
2019-03-23,Papua New Guinea,193,2,Philippines,193,2,Papua New Guinea,bat,NaN
2019-03-24,South Africa,192,2,Sri Lanka,192,10,Sri Lanka,field,South Africa
2019-03-24,Philippines,44,3,Vanuatu,44,2,Vanuatu,field,Philippines
2019-03-24,Papua New Guinea,51,8,Vanuatu,51,0,Vanuatu,bat,Papua New Guinea
2019-05-05,England,167,6,Pakistan,167,3,Pakistan,bat,England
2019-05-20,Uganda,132,7,Botswana,132,10,Botswana,field,Uganda
2019-05-20,Ghana,85,7,Namibia,85,1,Namibia,field,Namibia
2019-05-21,Ghana,135,5,Kenya,135,10,Ghana,field,Kenya
2019-05-21,Uganda,163,7,Namibia,163,8,Namibia,bat,Namibia
2019-05-21,Botswana,109,10,Nigeria,109,7,Nigeria,bat,Nigeria
2019-05-22,Botswana,40,10,Namibia,40,0,Botswana,bat,Namibia
2019-05-22,Ghana,122,8,Nigeria,122,8,Ghana,field,Nigeria
2019-05-22,Uganda,136,6,Kenya,136,9,Kenya,bat,Kenya
2019-05-23,Uganda,110,6,Ghana,110,3,Ghana,bat,Uganda
2019-05-25,Germany,124,6,Italy,124,4,Italy,field,Italy
2019-06-15,Guernsey,111,10,Germany,111,5,Germany,field,Germany
2019-06-16,Jersey,141,5,Norway,141,10,Jersey,bat,Jersey
2019-06-16,Denmark,121,9,Jersey,121,8,Denmark,field,Jersey
2019-06-16,Guernsey,114,10,Italy,114,8,Guernsey,field,Italy
2019-06-17,Denmark,132,7,Norway,132,9,Denmark,bat,Denmark
2019-06-18,Guernsey,96,9,Denmark,96,0,Guernsey,field,NaN
2019-06-19,Italy,145,6,Jersey,145,10,Italy,field,Jersey
2019-06-19,Guernsey,92,6,Norway,92,6,Guernsey,field,Guernsey
2019-06-19,Denmark,101,8,Germany,101,3,Germany,field,Germany
2019-06-20,Germany,128,5,Jersey,128,7,Germany,field,Germany
2019-06-20,Guernsey,105,7,Denmark,105,9,Denmark,field,Guernsey
2019-06-20,Denmark,153,9,Italy,153,10,Denmark,bat,Denmark
2019-06-20,Germany,95,10,Norway,95,3,Germany,field,Germany
2019-06-23,Netherlands,186,6,Zimbabwe,186,10,Zimbabwe,field,Netherlands
2019-06-24,Malaysia,110,8,Thailand,110,5,Malaysia,field,Malaysia
2019-06-25,Netherlands,149,8,Zimbabwe,149,10,Netherlands,bat,NaN
2019-06-26,Maldives,124,7,Thailand,124,8,Thailand,bat,Maldives
2019-06-27,Malaysia,115,7,Thailand,115,2,Thailand,bat,Malaysia
2019-06-28,Malaysia,120,5,Maldives,120,0,Malaysia,bat,NaN
2019-06-29,Maldives,146,6,Thailand,146,5,Thailand,field,Thailand
2019-07-12,Ireland,129,8,Zimbabwe,129,1,Ireland,field,Ireland
2019-07-13,Malaysia,125,9,Nepal,125,3,Malaysia,bat,Nepal
2019-07-14,Ireland,164,9,Zimbabwe,164,2,Zimbabwe,field,Zimbabwe
2019-07-14,Malaysia,167,6,Nepal,167,7,Nepal,bat,Nepal
2019-07-22,Singapore,171,7,Qatar,171,9,Singapore,bat,Singapore
2019-07-22,Kuwait,156,10,Malaysia,156,10,Malaysia,bat,Malaysia
2019-07-23,Nepal,120,10,Qatar,120,6,Nepal,bat,Qatar
2019-07-24,Malaysia,77,7,Nepal,77,3,Nepal,field,Nepal
2019-07-26,Kuwait,194,7,Qatar,194,5,Qatar,field,Kuwait
2019-07-26,Singapore,88,10,Malaysia,88,2,Malaysia,bat,Singapore
2019-07-27,Kuwait,137,9,Nepal,137,3,Nepal,field,Nepal
2019-07-27,Malaysia,139,10,Qatar,139,6,Malaysia,bat,Qatar
2019-07-28,Singapore,186,6,Nepal,186,10,Singapore,bat,Singapore
2019-08-03,India,87,9,West Indies,87,6,India,field,India
2019-08-04,India,157,5,West Indies,157,4,India,bat,India
2019-08-05,Netherlands,126,9,United Arab Emirates,126,5,United Arab Emirates,field,United Arab Emirates
2019-08-06,West Indies,138,6,India,138,3,India,field,India
2019-08-08,Netherlands,142,6,United Arab Emirates,142,3,Netherlands,bat,United Arab Emirates
2019-08-18,Bermuda,132,7,United States of America,132,7,Bermuda,bat,Bermuda
2019-08-18,Canada,191,6,Cayman Islands,191,7,Canada,bat,Canada
2019-08-19,Cayman Islands,55,8,United States of America,55,5,United States of America,field,United States of America
2019-08-19,Bermuda,74,9,Canada,74,0,Bermuda,bat,NaN
2019-08-19,Namibia,192,4,Botswana,192,7,Botswana,field,Namibia
2019-08-20,Namibia,235,3,Botswana,235,2,Botswana,field,Namibia
2019-08-21,Canada,134,6,United States of America,134,6,United States of America,bat,Canada
2019-08-21,Bermuda,102,9,Cayman Islands,102,4,Cayman Islands,bat,Bermuda
2019-08-22,United States of America,120,9,Bermuda,120,6,Bermuda,field,Bermuda
2019-08-22,Canada,80,7,Cayman Islands,80,2,Canada,field,Canada
2019-08-22,Namibia,165,8,Botswana,165,10,Namibia,bat,Namibia
2019-08-23,Namibia,83,8,Botswana,83,2,Botswana,bat,Namibia
2019-08-24,Cayman Islands,60,9,United States of America,60,1,Cayman Islands,bat,United States of America
2019-08-25,Canada,170,8,United States of America,170,8,United States of America,field,Canada
2019-08-25,Bermuda,112,10,Cayman Islands,112,4,Cayman Islands,bat,Bermuda
2019-09-01,Sri Lanka,165,4,New Zealand,165,5,Sri Lanka,bat,New Zealand
2019-09-03,Sri Lanka,157,9,New Zealand,157,6,Sri Lanka,bat,New Zealand
2019-09-06,Sri Lanka,112,8,New Zealand,112,10,Sri Lanka,bat,Sri Lanka
2019-09-13,Bangladesh,138,5,Zimbabwe,138,7,Bangladesh,field,Bangladesh
2019-09-14,Afghanistan,191,5,Zimbabwe,191,7,Zimbabwe,field,Afghanistan
2019-09-15,Bangladesh,146,6,Afghanistan,146,10,Afghanistan,bat,Afghanistan
2019-09-16,Netherlands,238,3,Scotland,238,7,Netherlands,field,Scotland
2019-09-17,Ireland,184,7,Scotland,184,6,Scotland,bat,Ireland
2019-09-18,Bangladesh,168,7,Zimbabwe,168,10,Zimbabwe,field,Bangladesh
2019-09-18,Ireland,169,7,Netherlands,169,4,Ireland,bat,Netherlands
2019-09-18,India,144,5,South Africa,144,3,India,field,India
2019-09-19,Netherlands,114,10,Scotland,114,4,Netherlands,bat,Scotland
2019-09-20,Afghanistan,148,8,Zimbabwe,148,3,Afghanistan,bat,Zimbabwe
2019-09-21,Bangladesh,132,7,Afghanistan,132,6,Bangladesh,field,Bangladesh
2019-09-22,India,119,9,South Africa,119,1,India,bat,South Africa
2019-09-27,Nepal,125,6,Zimbabwe,125,5,Nepal,bat,Zimbabwe
2019-09-28,Singapore,145,3,Nepal,145,1,Singapore,bat,Nepal
2019-09-29,Singapore,173,9,Zimbabwe,173,7,Singapore,bat,Singapore
2019-09-29,Malaysia,144,5,Vanuatu,144,9,Vanuatu,bat,Vanuatu
2019-10-01,Nepal,145,6,Zimbabwe,145,9,Nepal,field,Zimbabwe
2019-10-02,Malaysia,184,6,Vanuatu,184,7,Vanuatu,bat,Vanuatu
2019-10-02,Malaysia,125,8,Vanuatu,125,10,Malaysia,bat,Malaysia
2019-10-03,Malaysia,130,7,Vanuatu,130,4,Malaysia,bat,Vanuatu
2019-10-03,Singapore,155,7,Zimbabwe,155,2,Zimbabwe,field,Zimbabwe
2019-10-04,Malaysia,190,5,Vanuatu,190,9,Malaysia,bat,Malaysia
2019-10-05,Pakistan,153,5,Sri Lanka,153,10,Pakistan,field,Sri Lanka
2019-10-05,Ireland,164,7,Netherlands,164,4,Ireland,field,Ireland
2019-10-06,Hong Kong,117,6,Nepal,117,6,Nepal,field,Nepal
2019-10-06,Oman,156,9,Ireland,156,10,Ireland,field,Oman
2019-10-07,Hong Kong,203,5,Ireland,203,9,Ireland,bat,Ireland
2019-10-07,Nepal,128,10,Netherlands,128,6,Nepal,field,Nepal
2019-10-07,Pakistan,171,6,Sri Lanka,171,10,Sri Lanka,bat,Sri Lanka
2019-10-09,Ireland,140,8,Nepal,140,10,Ireland,bat,Ireland
