Date,Team1,Score1,Wkt1,Team2,Score2,Wkt2,Toss Winner,Toss Decision,Winner
2009-06-11,Ireland,187,5,New Zealand,187,10,Ireland,field,New Zealand
2009-06-11,England,104,10,South Africa,104,3,England,bat,South Africa
2009-06-12,Pakistan,130,7,Sri Lanka,130,9,Sri Lanka,bat,Sri Lanka
2009-06-12,India,148,7,West Indies,148,3,India,bat,West Indies
2009-06-13,New Zealand,93,10,Pakistan,93,4,New Zealand,bat,Pakistan
2009-06-13,South Africa,180,7,West Indies,180,9,West Indies,field,South Africa
2009-06-14,England,137,7,India,137,5,India,field,England
2009-06-14,Ireland,135,9,Sri Lanka,135,7,Sri Lanka,bat,Sri Lanka
2009-06-15,England,154,6,West Indies,154,5,England,bat,West Indies
2009-06-15,Ireland,153,5,Pakistan,153,9,Pakistan,bat,Pakistan
2009-06-16,New Zealand,151,5,Sri Lanka,151,10,Sri Lanka,bat,Sri Lanka
2009-06-16,India,127,5,South Africa,127,8,South Africa,bat,South Africa
2009-06-18,Pakistan,144,4,South Africa,144,5,Pakistan,bat,Pakistan
2009-06-19,Sri Lanka,152,5,West Indies,152,10,West Indies,field,Sri Lanka
2009-06-21,Pakistan,132,6,Sri Lanka,132,2,Sri Lanka,bat,Pakistan
2009-08-02,West Indies,102,9,Bangladesh,102,5,Bangladesh,bat,West Indies
2009-08-12,Sri Lanka,164,5,Pakistan,164,10,Pakistan,bat,Pakistan
2009-08-30,England,136,4,Australia,136,2,England,field,NaN
2009-09-02,Sri Lanka,132,8,New Zealand,132,9,New Zealand,bat,New Zealand
2009-09-04,Sri Lanka,166,4,New Zealand,166,8,New Zealand,bat,New Zealand
2009-11-12,New Zealand,159,8,Pakistan,159,9,New Zealand,field,Pakistan
2009-11-13,South Africa,191,6,England,191,3,South Africa,field,England
2009-11-13,New Zealand,147,5,Pakistan,147,5,Pakistan,bat,Pakistan
2009-11-15,South Africa,235,6,England,235,8,South Africa,bat,South Africa
2009-12-09,India,209,5,Sri Lanka,209,9,India,field,Sri Lanka
2009-12-12,India,182,7,Sri Lanka,182,4,Sri Lanka,bat,India
2010-02-03,New Zealand,76,10,Bangladesh,76,0,Bangladesh,bat,New Zealand
2010-02-05,Australia,125,10,Pakistan,125,9,Australia,bat,Australia
2010-02-09,Canada,137,8,Netherlands,137,4,Canada,bat,Netherlands
2010-02-09,Afghanistan,130,8,Ireland,130,10,Ireland,field,Afghanistan
2010-02-10,Canada,132,9,Kenya,132,1,Kenya,field,Kenya
2010-02-11,Ireland,118,7,Scotland,118,10,Ireland,bat,Ireland
2010-02-12,Afghanistan,123,9,Netherlands,123,6,Netherlands,field,Netherlands
2010-02-13,Afghanistan,127,8,Ireland,127,2,Ireland,bat,Afghanistan
2010-02-13,Ireland,144,6,Netherlands,144,10,Ireland,bat,Ireland
2010-02-19,England,126,8,Pakistan,126,3,Pakistan,bat,England
2010-02-20,England,140,6,Pakistan,140,6,Pakistan,field,Pakistan
2010-02-21,Australia,176,8,West Indies,176,8,Australia,bat,Australia
2010-02-23,Australia,127,7,West Indies,127,2,West Indies,bat,Australia
2010-02-26,New Zealand,113,10,Australia,113,4,New Zealand,bat,Australia
2010-02-28,New Zealand,196,6,Australia,196,4,New Zealand,bat,NaN
2010-02-28,West Indies,91,10,Zimbabwe,91,7,Zimbabwe,bat,Zimbabwe
2010-04-30,New Zealand,131,6,Sri Lanka,131,8,Sri Lanka,bat,New Zealand
2010-04-30,West Indies,134,9,Ireland,134,10,West Indies,bat,West Indies
2010-05-01,Afghanistan,109,8,India,109,3,India,field,India
2010-05-01,Bangladesh,169,3,Pakistan,169,7,Pakistan,bat,Pakistan
2010-05-02,India,181,5,South Africa,181,5,South Africa,field,India
2010-05-02,Australia,189,10,Pakistan,189,10,Australia,bat,Australia
2010-05-03,Sri Lanka,159,7,Zimbabwe,159,1,Sri Lanka,bat,Sri Lanka
2010-05-03,West Indies,184,5,England,184,2,West Indies,field,West Indies
2010-05-04,England,113,8,Ireland,113,1,Ireland,field,NaN
2010-05-04,New Zealand,73,10,Zimbabwe,73,1,New Zealand,field,New Zealand
2010-05-05,Afghanistan,133,7,South Africa,133,10,Afghanistan,field,South Africa
2010-05-05,Australia,135,7,Bangladesh,135,10,Australia,bat,Australia
2010-05-06,New Zealand,162,4,South Africa,162,7,South Africa,bat,South Africa
2010-05-06,England,137,9,Pakistan,137,4,England,field,England
2010-05-07,West Indies,182,3,Sri Lanka,182,8,Sri Lanka,bat,Sri Lanka
2010-05-07,Australia,183,5,India,183,10,India,field,Australia
2010-05-08,New Zealand,118,7,Pakistan,118,7,Pakistan,field,New Zealand
2010-05-08,England,154,7,South Africa,154,10,England,bat,England
2010-05-09,Australia,163,5,Sri Lanka,163,10,Australia,bat,Australia
2010-05-09,West Indies,162,6,India,162,9,India,field,West Indies
2010-05-10,Pakistan,144,7,South Africa,144,7,Pakistan,bat,Pakistan
2010-05-10,England,141,6,New Zealand,141,7,New Zealand,bat,England
2010-05-11,India,154,5,Sri Lanka,154,5,India,bat,Sri Lanka
2010-05-11,West Indies,96,10,Australia,96,4,West Indies,bat,Australia
2010-05-13,England,119,6,Sri Lanka,119,3,Sri Lanka,bat,England
2010-05-14,Australia,171,6,Pakistan,171,7,Australia,field,Australia
2010-05-16,Australia,139,6,England,139,3,England,field,England
2010-05-19,West Indies,124,7,South Africa,124,10,West Indies,field,South Africa
2010-05-20,West Indies,112,7,South Africa,112,7,West Indies,field,South Africa
2010-05-22,New Zealand,115,7,Sri Lanka,115,10,New Zealand,bat,New Zealand
2010-05-23,New Zealand,78,10,Sri Lanka,78,3,New Zealand,bat,Sri Lanka
2010-06-12,Zimbabwe,105,9,India,105,4,India,field,India
2010-06-13,Zimbabwe,134,5,India,134,3,India,field,India
2010-07-05,Australia,149,8,Pakistan,149,10,Pakistan,bat,Pakistan
2010-07-06,Australia,149,9,Pakistan,149,10,Pakistan,bat,Pakistan
2010-09-05,England,124,4,Pakistan,124,5,England,field,England
2010-09-07,England,82,10,Pakistan,82,4,Pakistan,bat,England
2010-10-08,South Africa,158,4,Zimbabwe,158,3,Zimbabwe,bat,South Africa
2010-10-10,South Africa,187,6,Zimbabwe,187,7,South Africa,bat,South Africa
2010-10-26,Pakistan,110,10,South Africa,110,4,Pakistan,bat,South Africa
2010-10-27,Pakistan,113,9,South Africa,113,4,Pakistan,bat,South Africa
2010-10-31,Australia,127,8,Sri Lanka,127,3,Australia,bat,Sri Lanka
2010-12-26,New Zealand,139,9,Pakistan,139,5,New Zealand,field,New Zealand
2010-12-28,New Zealand,175,7,Pakistan,175,9,Pakistan,field,New Zealand
2010-12-30,New Zealand,179,6,Pakistan,179,10,Pakistan,bat,Pakistan
2011-01-09,South Africa,164,6,India,164,9,India,bat,India
2011-01-12,Australia,153,4,England,153,9,Australia,bat,England
2011-01-14,Australia,144,7,England,144,6,Australia,bat,Australia
2011-04-21,West Indies,144,7,Pakistan,144,9,West Indies,bat,West Indies
2011-06-04,West Indies,146,6,India,146,5,West Indies,field,India
